Qs2,xbj,y,sigma_r,stat,uncor,sysHZComb1001,sysHZComb1002,sysHZComb1003,sysHZComb1004,sysHZComb1005,sysHZComb1006,sysHZComb1007,sysHZComb1008,sysHZComb1009,sysHZComb1010,sysHZComb1011,sysHZComb1012,sysHZComb1013,sysHZComb1014,sysHZComb1015,sysHZComb1016,sysHZComb1017,sysHZComb1018,sysHZComb1019,sysHZComb1020,sysHZComb1021,sysHZComb1022,sysHZComb1023,sysHZComb1024,sysHZComb1025,sysHZComb1026,sysHZComb1027,sysHZComb1028,sysHZComb1029,sysHZComb1030,sysHZComb1031,sysHZComb1032,sysHZComb1033,sysHZComb1034,sysHZComb1035,sysHZComb1036,sysHZComb1037,sysHZComb1038,sysHZComb1039,sysHZComb1040,sysHZComb1041,sysHZComb1042,sysHZComb1043,sysHZComb1044,sysHZComb1045,sysHZComb1046,sysHZComb1047,sysHZComb1048,sysHZComb1049,sysHZComb1050,sysHZComb1051,sysHZComb1052,sysHZComb1053,sysHZComb1054,sysHZComb1055,sysHZComb1056,sysHZComb1057,sysHZComb1058,sysHZComb1059,sysHZComb1060,sysHZComb1061,sysHZComb1062,sysHZComb1063,sysHZComb1064,sysHZComb1065,sysHZComb1066,sysHZComb1067,sysHZComb1068,sysHZComb1069,sysHZComb1070,sysHZComb1071,sysHZComb1072,sysHZComb1073,sysHZComb1074,sysHZComb1075,sysHZComb1076,sysHZComb1077,sysHZComb1078,sysHZComb1079,sysHZComb1080,sysHZComb1081,sysHZComb1082,sysHZComb1083,sysHZComb1084,sysHZComb1085,sysHZComb1086,sysHZComb1087,sysHZComb1088,sysHZComb1089,sysHZComb1090,sysHZComb1091,sysHZComb1092,sysHZComb1093,sysHZComb1094,sysHZComb1095,sysHZComb1096,sysHZComb1097,sysHZComb1098,sysHZComb1099,sysHZComb1100,sysHZComb1101,sysHZComb1102,sysHZComb1103,sysHZComb1104,sysHZComb1105,sysHZComb1106,sysHZComb1107,sysHZComb1108,sysHZComb1109,sysHZComb1110,sysHZComb1111,sysHZComb1112,sysHZComb1113,sysHZComb1114,sysHZComb1115,sysHZComb1116,sysHZComb1117,sysHZComb1118,sysHZComb1119,sysHZComb1120,sysHZComb1121,sysHZComb1122,sysHZComb1123,sysHZComb1124,sysHZComb1125,sysHZComb1126,sysHZComb1127,sysHZComb1128,sysHZComb1129,sysHZComb1130,sysHZComb1131,sysHZComb1132,sysHZComb1133,sysHZComb1134,sysHZComb1135,sysHZComb1136,sysHZComb1137,sysHZComb1138,sysHZComb1139,sysHZComb1140,sysHZComb1141,sysHZComb1142,sysHZComb1143,sysHZComb1144,sysHZComb1145,sysHZComb1146,sysHZComb1147,sysHZComb1148,sysHZComb1149,sysHZComb1150,sysHZComb1151,sysHZComb1152,sysHZComb1153,sysHZComb1154,sysHZComb1155,sysHZComb1156,sysHZComb1157,sysHZComb1158,sysHZComb1159,sysHZComb1160,sysHZComb1161,sysHZComb1162,ignore,proc_nrl,proc_tb21,proc_tb22,proc_tb23,proc_tb24,proc_gp,proc_had,sqrt(s)
2.0,2.47e-05,0.80012,0.78079,2.3107,2.6982,0.059,-0.055,0.07,-0.219,0.402,-0.415,0.072,-0.125,-0.012,-0.13,-0.243,0.026,0.461,-0.483,-0.363,-0.079,0.055,-0.212,0.04,0.024,-0.661,0.105,-0.049,0.058,-0.001,-0.533,-0.13,-0.173,0.244,0.029,-0.454,-0.187,-0.253,-0.06,0.027,0.332,0.01,0.09,0.024,-0.065,0.013,-0.084,-0.016,0.266,-0.097,-0.22,-0.16,-0.172,-0.052,-0.252,0.03,0.141,-0.369,0.2,-0.468,-0.144,0.344,-0.614,-0.152,0.02,-0.128,-0.027,0.36,-0.266,0.169,-0.345,0.997,-1.241,-0.344,-0.19,-0.134,0.239,1.405,0.852,-0.15,0.686,-0.058,0.943,-1.066,-0.11,0.027,-0.051,-0.524,-0.155,-0.874,-0.641,-1.509,0.613,0.229,-0.135,-0.029,-0.106,-0.065,0.175,-0.014,-0.062,0.017,0.142,-0.165,0.13,0.023,-0.046,-0.05,0.174,0.217,-0.059,0.006,0.038,-0.149,0.145,0.033,0.088,-0.034,-0.117,-0.121,-0.087,0.008,-0.021,-0.566,-0.004,0.3,0.01,-0.016,0.017,0.004,-0.012,-0.002,-0.044,0.009,-0.049,0.07,0.029,-0.026,-0.026,0.08,-0.07,0.09,-0.016,0.019,0.004,0.04,0.012,-0.005,0.01,0.069,0.046,0.011,0.012,0.007,-0.004,0.003,-0.004,0.008,0.005,-0.005,0.001,-0.001,-0.0,-0.001,0.005,0.003,0.005,5.43526,0.850421,-3.43498,-0.219009,-0.0320189,-0.0192113,-5.28789,0.143034,318.0
2.0,2.928e-05,0.67496,0.78789,1.491,1.6506,0.059,-0.055,0.071,-0.219,0.402,-0.415,0.004,0.047,-0.003,-0.031,-0.052,-0.113,0.03,-0.039,0.012,-0.006,0.051,-0.053,-0.017,-0.027,-0.144,0.085,0.057,0.019,0.074,0.002,-0.093,0.073,0.011,0.111,-0.118,-0.094,-0.066,0.011,0.029,0.056,0.003,-0.027,-0.083,0.203,-0.133,0.035,-0.061,-0.051,-0.118,0.069,-0.076,-0.119,0.0,-0.019,-0.007,-0.097,-0.002,0.044,-0.215,-0.019,0.067,-0.025,0.098,-0.025,0.037,-0.05,0.059,-0.136,0.047,-0.019,0.095,-0.116,-0.024,-0.025,-0.02,0.04,0.331,0.261,-0.039,0.167,-0.021,0.325,-0.313,-0.057,0.011,-0.001,-0.224,-0.072,-0.392,-0.285,-0.632,0.274,0.12,-0.076,-0.006,-0.02,-0.01,0.086,-0.006,0.001,-0.004,-0.015,0.025,0.094,0.001,-0.026,0.026,0.023,0.104,-0.056,0.003,0.044,-0.072,0.108,0.024,0.045,-0.026,-0.097,-0.079,-0.103,0.009,-0.032,-0.259,-0.003,0.166,0.007,-0.005,-0.006,-0.003,-0.007,-0.003,-0.042,-0.007,-0.05,0.066,0.023,-0.048,-0.023,0.069,-0.063,0.093,-0.015,0.014,-0.001,0.033,0.012,-0.006,0.014,0.061,0.038,0.005,0.01,0.005,-0.003,0.002,-0.003,0.006,0.002,-0.003,0.001,-0.001,-0.0,-0.0,0.005,0.004,0.006,2.66807,0.43534,-0.458186,-0.0571146,0.00380764,0.0279227,-0.339863,0.0190252,318.0
2.0,5e-05,0.39526,0.82276,1.5212,1.9347,0.059,-0.055,0.071,-0.219,0.402,-0.416,0.008,0.097,-0.001,-0.01,-0.06,-0.115,-0.041,0.017,-0.013,-0.02,0.026,-0.034,-0.05,-0.064,-0.203,0.003,0.069,0.013,0.043,0.084,-0.061,0.106,-0.001,0.236,-0.03,-0.089,-0.031,0.095,0.074,0.118,-0.095,-0.03,0.02,0.115,-0.068,0.04,-0.123,0.035,-0.082,0.009,-0.066,-0.139,0.049,0.041,-0.028,-0.082,0.101,0.089,-0.154,-0.01,0.034,0.0,0.089,-0.023,0.031,-0.048,0.014,-0.047,0.015,0.072,0.001,-0.001,0.02,-0.048,0.033,0.002,0.111,0.055,-0.031,0.171,-0.008,0.095,-0.237,-0.023,0.011,-0.005,-0.086,-0.023,-0.116,-0.05,-0.037,0.037,0.005,-0.001,0.001,0.027,0.034,0.015,-0.004,0.031,-0.015,-0.082,0.1,0.071,-0.034,-0.021,0.071,0.026,0.059,-0.041,0.009,0.04,-0.012,0.096,0.014,0.004,-0.02,-0.081,-0.056,-0.138,0.011,-0.017,-0.091,-0.002,0.039,0.005,-0.002,-0.011,-0.005,-0.005,-0.002,-0.039,-0.009,-0.049,0.06,0.019,-0.052,-0.018,0.062,-0.057,0.089,-0.014,0.011,-0.003,0.032,0.011,-0.006,0.014,0.062,0.036,0.004,0.011,0.005,-0.003,0.002,-0.003,0.006,0.001,-0.001,0.001,-0.002,-0.0,-0.0,0.005,0.004,0.006,2.65832,0.41932,0.13005,-0.0121542,0.00729253,0.046186,-0.177737,-0.178956,318.0
2.0,8e-05,0.24704,0.76154,0.97433,1.34,0.059,-0.055,0.071,-0.219,0.402,-0.415,-0.023,-0.012,-0.0,0.0,-0.029,-0.106,-0.08,0.094,0.077,0.006,0.036,-0.011,-0.019,-0.023,-0.013,0.024,0.08,0.018,0.027,0.035,-0.038,0.04,-0.034,0.073,-0.009,-0.105,0.007,0.063,0.049,0.082,-0.047,0.004,-0.005,0.01,-0.024,0.028,0.017,-0.035,-0.06,-0.012,-0.056,-0.08,0.008,0.017,0.013,0.004,0.061,0.104,-0.08,0.024,0.067,-0.048,0.088,-0.029,-0.006,-0.062,0.086,0.025,0.048,0.138,-0.114,-0.011,-0.018,-0.084,0.048,0.0,0.1,-0.095,-0.036,0.315,-0.015,0.031,-0.191,-0.019,0.011,-0.005,-0.062,-0.013,-0.066,-0.001,0.095,-0.01,-0.017,0.011,0.004,0.05,0.05,-0.004,-0.003,0.043,-0.018,-0.106,0.126,0.068,-0.052,-0.019,0.096,0.089,0.04,-0.047,0.006,0.037,0.0,0.093,0.009,0.004,-0.02,-0.082,-0.086,-0.199,0.011,-0.069,0.014,-0.001,0.117,0.007,0.003,-0.026,-0.011,-0.011,0.028,0.004,-0.021,-0.049,0.064,0.02,-0.061,-0.038,0.064,-0.06,0.096,-0.015,0.013,-0.002,-0.159,-0.004,-0.004,0.011,-0.027,-0.037,0.003,0.026,0.006,-0.002,-0.049,-0.005,0.006,0.001,-0.001,0.001,-0.004,-0.0,0.004,0.005,0.004,0.006,1.92705,0.526565,0.267878,0.0,0.00262626,0.0459595,-0.202653,-0.379657,318.0
2.0,0.00013,0.15202,0.72306,1.1062,1.2985,0.059,-0.055,0.071,-0.219,0.402,-0.416,-0.043,-0.024,-0.001,-0.005,0.005,-0.135,-0.13,0.038,0.054,-0.001,0.029,-0.007,-0.03,-0.038,0.005,0.03,0.083,0.02,0.035,0.021,-0.028,0.029,-0.034,0.066,-0.017,-0.068,0.009,0.063,0.047,0.115,-0.028,-0.0,-0.0,-0.012,-0.001,0.009,0.026,-0.018,-0.093,-0.003,-0.092,-0.159,0.048,0.1,0.057,-0.004,0.071,0.087,-0.081,0.038,0.091,-0.083,0.082,-0.029,0.037,-0.073,0.074,0.041,0.057,0.17,-0.153,-0.016,-0.026,-0.102,0.06,0.003,0.128,-0.119,-0.041,0.356,-0.017,0.03,-0.208,-0.018,0.012,-0.01,-0.061,-0.011,-0.054,0.014,0.119,-0.008,0.062,-0.047,0.007,0.061,0.047,0.003,-0.003,0.041,-0.018,-0.103,0.124,0.071,-0.045,-0.021,0.086,0.054,0.046,-0.047,0.007,0.04,-0.001,0.093,0.01,0.012,-0.021,-0.086,-0.082,-0.199,0.011,-0.101,0.066,-0.001,0.178,0.008,0.008,-0.041,-0.018,-0.02,0.071,0.077,-0.039,-0.039,0.063,0.02,-0.059,-0.038,0.06,-0.056,0.091,-0.014,0.012,-0.003,-0.076,0.002,-0.005,0.008,-0.067,-0.051,0.002,0.023,0.005,0.0,-0.148,-0.01,0.006,0.002,-0.001,0.001,-0.004,-0.0,0.005,0.005,0.004,0.006,2.01322,0.504799,0.362349,-0.00138301,0.00414903,0.0484054,-0.195348,-0.264803,318.0
2.0,0.0002,0.098814,0.67867,1.1234,1.3172,0.059,-0.055,0.071,-0.219,0.402,-0.416,-0.026,-0.073,-0.0,0.001,-0.022,-0.088,-0.046,0.077,0.151,0.075,0.096,0.007,0.053,0.071,0.157,0.001,0.061,0.029,0.018,0.017,-0.042,0.018,0.045,0.164,-0.038,0.003,0.023,0.049,0.031,-0.045,-0.074,-0.01,-0.003,0.058,-0.072,0.072,-0.182,0.207,-0.149,-0.001,-0.04,-0.096,0.061,0.072,-0.064,-0.071,0.097,0.144,-0.115,0.013,0.078,-0.108,0.058,-0.02,-0.024,-0.059,0.046,-0.055,0.022,0.119,-0.071,-0.007,0.005,-0.085,0.053,0.005,0.143,-0.069,-0.044,0.311,-0.012,0.042,-0.268,-0.016,0.013,-0.007,-0.057,-0.009,-0.05,0.013,0.167,-0.074,-0.14,0.099,-0.003,0.042,0.062,-0.022,-0.005,0.048,-0.021,-0.12,0.143,0.07,-0.06,-0.024,0.102,0.059,0.047,-0.051,0.007,0.045,0.009,0.106,0.017,0.018,-0.022,-0.087,-0.086,-0.183,0.01,-0.096,0.034,-0.001,0.189,0.008,0.006,-0.032,-0.014,-0.015,0.043,0.035,-0.032,-0.045,0.067,0.022,-0.057,-0.038,0.062,-0.057,0.091,-0.015,0.012,-0.001,0.106,0.017,-0.008,0.005,-0.175,-0.114,0.006,0.058,0.01,-0.008,0.271,0.011,0.004,-0.002,0.001,0.001,-0.003,-0.0,0.004,0.005,0.004,0.006,2.0954,0.555498,0.179763,-0.00294694,0.0103143,0.0574653,-0.362147,0.27759,318.0
2.0,0.00032,0.061759,0.62657,1.0084,1.6479,0.059,-0.055,0.071,-0.219,0.402,-0.416,0.041,-0.04,0.0,0.003,-0.019,-0.097,-0.055,0.041,-0.042,0.046,0.035,0.03,-0.044,-0.05,0.413,-0.127,0.036,0.029,-0.042,0.046,-0.077,0.043,-0.018,0.261,-0.04,-0.181,-0.009,0.145,0.11,0.046,-0.201,0.049,0.127,-0.201,0.075,0.029,-0.082,0.156,0.005,-0.142,0.01,0.038,-0.011,-0.094,-0.116,0.078,0.113,0.149,-0.1,-0.072,0.014,-0.065,0.048,-0.017,-0.033,-0.039,0.023,0.02,0.037,0.031,0.173,-0.106,0.018,-0.102,0.074,-0.017,0.006,-0.149,-0.039,0.199,0.017,-0.174,-0.242,0.009,0.013,-0.019,0.016,0.017,0.104,0.143,0.442,-0.146,-0.084,0.055,0.01,0.076,0.071,-0.058,-0.002,0.056,-0.022,-0.133,0.154,0.053,-0.065,-0.024,0.102,0.039,0.025,-0.02,0.016,0.032,0.027,0.071,0.005,0.041,-0.014,-0.054,-0.018,-0.126,0.008,-0.039,-0.237,-0.002,0.165,0.008,0.002,-0.026,-0.01,-0.006,-0.0,-0.048,-0.015,-0.061,0.07,0.021,-0.066,-0.02,0.071,-0.065,0.104,-0.016,0.012,-0.004,0.034,0.012,-0.007,0.017,0.07,0.041,0.004,0.013,0.005,-0.003,0.001,-0.003,0.006,0.001,-0.001,0.001,-0.002,-0.0,-0.0,0.005,0.005,0.006,2.33525,0.445281,0.582537,0.00159599,0.0143639,0.0574557,-0.329247,-0.100462,318.0
2.0,0.0005,0.039526,0.57473,1.1719,2.0376,0.059,-0.055,0.071,-0.219,0.402,-0.415,-0.186,-0.077,-0.001,-0.001,-0.039,-0.102,-0.2,0.1,0.019,0.036,0.148,-0.005,0.049,0.075,0.027,0.012,0.095,0.029,-0.013,0.018,-0.047,0.001,0.092,0.268,-0.013,-0.01,-0.022,0.102,0.068,-0.063,-0.112,0.073,0.01,-0.032,-0.028,0.037,-0.095,0.22,-0.163,-0.047,0.069,0.122,0.045,0.119,-0.321,0.097,0.202,0.265,-0.202,-0.139,0.029,-0.381,-0.148,-0.001,0.174,-0.001,0.171,0.095,0.003,0.097,-0.043,-0.055,-0.04,-0.045,0.01,-0.008,-0.055,0.032,-0.025,0.171,0.012,-0.074,-0.414,0.008,0.024,-0.016,-0.011,0.01,0.051,0.099,0.355,-0.141,-0.088,0.056,0.009,0.077,0.063,-0.046,0.001,0.051,-0.018,-0.112,0.127,0.05,-0.065,-0.028,0.091,0.132,0.014,-0.041,-0.004,0.015,0.02,0.059,0.004,0.022,-0.014,-0.055,-0.061,-0.148,0.007,-0.032,-0.168,-0.001,0.11,0.006,-0.001,-0.017,-0.007,-0.006,0.004,-0.038,-0.007,-0.051,0.057,0.017,-0.057,-0.016,0.063,-0.058,0.092,-0.014,0.011,-0.003,0.031,0.011,-0.006,0.015,0.067,0.039,0.005,0.014,0.005,-0.003,0.003,-0.003,0.006,0.001,-0.001,0.001,-0.003,-0.0,-0.0,0.005,0.004,0.006,2.72349,0.441947,0.217493,0.0,0.0156595,0.0295791,0.0191181,0.0729572,318.0
2.0,0.001,0.019763,0.50981,0.98608,1.7917,0.059,-0.055,0.071,-0.219,0.402,-0.416,-0.062,0.067,-0.0,-0.004,0.011,-0.168,-0.053,-0.007,0.082,0.028,-0.014,0.003,0.028,0.04,0.101,-0.159,-0.036,0.023,-0.064,0.004,-0.036,-0.035,-0.019,0.021,-0.045,0.062,0.026,-0.023,-0.014,-0.027,-0.06,0.02,-0.029,-0.047,-0.026,0.054,-0.114,0.168,-0.179,0.025,0.004,0.014,0.029,0.081,-0.129,-0.07,0.072,0.145,-0.09,-0.041,0.082,-0.297,-0.023,-0.009,0.128,-0.039,0.019,-0.165,0.026,-0.007,-0.034,0.076,0.048,-0.011,0.005,0.007,0.108,0.029,-0.027,0.114,0.005,0.025,-0.312,-0.002,0.014,-0.03,-0.041,0.0,0.013,0.077,0.29,-0.108,-0.066,0.042,0.005,0.064,0.065,-0.029,-0.004,0.05,-0.021,-0.125,0.149,0.061,-0.068,-0.033,0.1,0.061,0.033,-0.047,0.009,0.045,0.028,0.103,0.018,0.018,-0.019,-0.074,-0.061,-0.137,0.009,-0.032,-0.11,-0.002,0.083,0.006,0.001,-0.017,-0.007,-0.005,-0.002,-0.04,-0.013,-0.052,0.063,0.019,-0.058,-0.018,0.065,-0.059,0.094,-0.015,0.011,-0.003,0.03,0.011,-0.007,0.015,0.063,0.036,0.004,0.012,0.005,-0.003,0.001,-0.002,0.006,0.001,-0.001,0.001,-0.001,-0.0,-0.0,0.005,0.004,0.006,2.32164,0.449187,-0.329535,0.0,0.0137306,0.0549224,-0.153169,0.240587,318.0
2.0,0.0032,0.0061759,0.42584,1.0689,1.8947,0.059,-0.055,0.071,-0.219,0.402,-0.415,-0.077,0.036,-0.001,-0.016,0.121,-0.237,0.007,0.073,-0.013,0.002,-0.115,0.016,-0.019,-0.034,0.206,-0.065,-0.074,0.033,-0.085,-0.091,0.027,-0.167,-0.025,-0.192,-0.032,0.148,0.024,-0.209,-0.126,-0.047,-0.045,-0.01,-0.115,-0.013,-0.058,0.077,-0.178,0.148,-0.291,0.135,-0.043,-0.051,0.017,0.096,0.0,-0.257,-0.04,0.026,0.037,0.025,0.136,-0.284,0.109,-0.019,0.109,-0.089,-0.143,-0.531,0.067,-0.155,-0.011,0.269,0.184,0.024,0.008,0.022,0.293,-0.012,-0.038,0.08,0.003,0.102,-0.316,-0.006,0.01,-0.058,-0.076,-0.006,-0.002,0.09,0.343,-0.119,-0.082,0.053,-0.002,0.062,0.083,-0.026,-0.011,0.057,-0.027,-0.16,0.196,0.07,-0.098,-0.047,0.13,0.015,0.047,-0.053,0.029,0.087,0.048,0.164,0.034,0.022,-0.024,-0.096,-0.059,-0.141,0.013,-0.038,-0.08,-0.003,0.079,0.006,0.003,-0.021,-0.008,-0.005,-0.008,-0.049,-0.02,-0.061,0.078,0.025,-0.068,-0.022,0.076,-0.068,0.109,-0.017,0.013,-0.003,0.033,0.012,-0.008,0.018,0.068,0.038,0.003,0.012,0.005,-0.002,-0.001,-0.002,0.006,0.0,-0.002,0.001,0.0,-0.0,-0.0,0.005,0.005,0.006,2.62624,0.568289,-0.899399,0.0046966,0.0093932,0.0986286,-0.251901,0.481421,318.0
